Edge,rank,prerequisites,description,numerical effect,
Alertness,Background,,Bonus to Notice Rolls,Notice +2,
Ambidextrous,Background,,Off hand penalty ignored,,
Arcane Background (Bardic Magic),Background,,"Arcane Skill: Persuasion (Spirit)
  Starting Power Points: 10
  Starting Powers: 2
  You've learned how to channel your music into magic, using Persuasion as your arcane skill (note that Charisma is not added to Persuasion when used for casting spells). You use the Arcane Spell Failure rule when using medium or heavy armour, or large shields (i.e., if the penalty is 1 then you ignore it, but if it's 2 or 3 then it applies in full). Your spells should generally have a sound-based trapping, and unlike sorcerers and wizards you can even learn healing magic (but not Greater Healing).
",PP +10;Powers +2;Persuasion(Spirit),
Arcane Background (Magic),Background,,"Arcane Skill: Spellcasting (Smarts)
Starting Power Points: 10
Starting Powers: 3
Magicians range from powerful wizards to vile cultists. They
draw on raw supernatural energy to fuel their eldritch fires.
This energy often infuses the worlds in which they live, and
is drawn forth with elaborate rituals, words of power, runes,
or perhaps even dark sacrifices.
Wizards are often quite weak early in their careers, but are
forces to be reckoned with as they become powerful sorcerers. Backlash: When a wizard rolls a 1 on his Spellcasting die
(regardless of his Wild Die), he is automatically Shaken. This
can cause a wound.",PP +10;Powers +3;Spellcasting(Smarts),
Arcane Background (Miracles),Background,,"Arcane Skill: Faith (Spirit)
Starting Power Points: 10
Starting Powers: 2
Those who draw on miracles are priestly types or holy
champions. Their power comes from a divine presence of
some sort, including gods, nature, or spirits. Their powers are
usually invoked with a few words of prayer or by performing
established rituals.Protector: Those who cast miracles are champions of their
particular religions. Good priests vow to protect the innocent,
fight evil, and obey all other tenets of their particular religion.
Evil priests typically vow to defeat those who oppose their
religion, or simply to cause as much misery and strife as
possible. The player and Game Master should come up with
a simple list of what is important to the character’s religion
and use this as a guide.",Faith(Spirit);PP +10;Powers +2,
Arcane Background (Psionics),Background,,"Arcane Skill: Psionics (Smarts)
Starting Power Points: 10
Starting Powers: 3
Psionicists have discovered how to tap into their own psychic
powers. They can manipulate matter, create fire, or control
their own bodies with but a thought.
Brainburn: When a psionic character rolls a 1 on his
Psionics die (regardless of his Wild Die), he is automatically
Shaken. On a critical failure, the psi lets out a psychic scream
that causes him to be Shaken along with all allies in a Large
Burst Template who fail a Spirit roll. This can cause a wound.",Psionics(Smarts);PP +10;Powers +3,
Arcane Background (Weird Science),Background,,"Arcane Skill: Weird Science (Smarts—see below)
Starting Power Points: 10 (but see below)
Starting Powers: 1
Weird Science is the creation of strange and powerful
devices. It differs from regular science in that some element of
the arcane is involved. Maybe it’s just generic “super-science,”
or perhaps it’s divinely (or demonically) inspired. Maybe the
science itself is relatively sound, but it derives power from an
arcane source, such as ghost rock in Deadlands, or some
other magical mineral or essence in a steampunk fantasy
game.
Weird Science is different in that each new power is actually a new “gizmo.” The player must write down exactly what
the device is when he gains the power. An inventor with the
invisibility power, for instance, actually has an invisibility
belt, cloak, etc. Players are encouraged to give their devices
pseudo-scientific names as well (“Dr. Zee’s Chromatic
Disfibulating Device!”).
Weird Science is the skill an inventor uses when activating
most devices, and raises increase the effects of the power
as usual. If a device uses a different skill, such as Driving,
Fighting, or Shooting, the inventor uses that instead. A ray
gun, for example, uses the Shooting skill, while a “vibroknife”
(a knife with the smite power) uses Fighting.
Powers that require an opposed roll, such as puppet, also
use the scientist’s Weird Science skill.
Each device comes with its own Power Points equal to the
inventor’s Power Points. An inventor with the bolt power and
10 Power Points, for example, could make a ray gun that fires
electrical beams. The gun has 10 Power Points it can use
to fire the beams just like a wizard would cast the bolt spell.
Malfunction: Weird science devices are never perfect
technology. They often suffer from spectacular and deadly
malfunctions. If a gadgeteer uses a device and rolls a 1 on
the skill die used to activate the gizmo, it has malfunctioned
in some way and does not work. Draw a card and consult the
Malfunction Table below:",Weird Science(Smarts);PP +10;Powers +1,
Arcane Resistance,Background,Spirit d8,Magic is less effective against you.  Adds +2 to armor when hit by damage causing arcane powers. +2 to Trait rolls when reisting powers.,,
Arcane Resistance (Improved),Background,Arcane Resistance,Magic is greatly less effective against you.  Adds +4 to armor when hit by damage causing arcane powers. +4 to Trait rolls when reisting powers.,,
Attractive,Background,Vigor d6,It's no secret that beautiful people have an easier time getting their way in life. This edge grants you +2 Charisma.,Charisma +2,
